ZipCode,YoY_2025,Exposure_2025,YoY_2024,Exposure_2024,YoY_2023,Exposure_2023,YoY_2022,Exposure_2022,YoY_2021,Exposure_2021
93222,24%,656105466,24%,527116456,15%,426612440,15%,371207823,,322367223
93224,8%,889129,6%,826772,0%,778500,0%,-,,-
93225,32%,520105521,46%,394077485,26%,270764131,55%,214582294,,138128545
93226,4%,24945844,19%,24007156,48%,20213723,11%,13640805,,12279260
93238,33%,228744880,79%,172112166,66%,96156507,85%,57947204,,31290585
93240,27%,360249005,130%,284203743,87%,123806101,43%,66229953,,46235408
93241,97%,22501038,215%,11439115,2%,3630866,13%,3558542,,3149106
93243,36%,123850720,34%,90940029,98%,67768907,61%,34266464,,21305658
93249,31%,2482274,141%,1888318,142%,784350,-46%,324486,,602589
93250,14%,14690322,319%,12875026,86%,3074578,150%,1649738,,661025
93252,18%,13369981,-32%,11301948,121%,16587300,28%,7496555,,5873045
93255,24%,9567331,99%,7730090,73%,3892616,-17%,2250902,,2712647
93263,165%,30050714,51%,11337506,72%,7527145,1%,4376565,,4338747
93268,86%,69516699,249%,37387123,21%,10700882,15%,8829459,,7670701
93276,108%,552870,-26%,266440,510%,358793,18%,58850,,50000
93280,106%,21020987,48%,10202007,323%,6908224,4%,1634036,,1567603
93283,16%,64058627,193%,55385436,25%,18871197,84%,15130234,,8239232
93285,14%,288984009,13%,252649227,16%,223061409,23%,192203886,,156434931
93287,16%,10130577,22%,8735892,7%,7164109,10%,6675687,,6088052
93301,134%,89407302,77%,38190674,107%,21551311,27%,10420383,,8189228
93304,83%,195816668,107%,107255835,64%,51741282,-4%,31564542,,32924163
93305,70%,179078382,157%,105136948,31%,40930539,2%,31268351,,30534307
93306,115%,290224593,272%,134735385,83%,36227004,8%,19831594,,18299980
93307,57%,247832544,105%,158000310,43%,77147818,-4%,53844838,,56290786
93308,69%,244475318,173%,144577512,152%,53055305,14%,21085106,,18498639
93309,142%,163997600,360%,67855409,69%,14746201,-7%,8719896,,9409909
93311,164%,77780984,283%,29418237,109%,7677567,17%,3678401,,3148712
93312,85%,87240024,233%,47140400,87%,14164003,-1%,7563323,,7652048
93313,64%,76554158,173%,46671627,133%,17098537,-4%,7349400,,7656195
93314,102%,62077770,233%,30747589,37%,9224980,-18%,6740369,,8260908
93501,95%,59578384,145%,30573806,37%,12459468,8%,9082297,,8412159
93505,103%,92237896,271%,45425347,131%,12241803,11%,5310111,,4786925
93516,47%,13406752,1034%,9092456,-76%,801912,143%,3342243,,1376446
93518,-1%,89455386,21%,90450812,52%,74579017,33%,49021513,,36892739
93523,139%,14186921,190%,5937461,120%,2045411,23%,931213,,756587
93527,100%,40672468,96%,20385881,12%,10392831,43%,9240258,,6468621
93528,18%,1428895,61%,1214517,6%,756517,5%,711975,,676753
93531,13%,115056305,50%,102103145,16%,68268731,-13%,59046469,,67700185
93554,0%,436250,0%,-,0%,-,0%,-,,-
93555,105%,147936227,360%,72067836,113%,15675353,-2%,7364721,,7497118
93560,97%,91511203,228%,46366287,36%,14140951,66%,10434748,,6283032
93561,34%,1572814891,48%,1174649339,37%,794421246,39%,580780749,,417692197
93202,75%,2530536,-28%,1446614,50%,2022769,0%,1346325,,-
93204,254%,7902928,-30%,2232667,696%,3182446,5%,399917,,380035
93212,60%,12535818,45%,7855463,1%,5419073,35%,5380731,,3987429
93230,51%,72221451,149%,47944497,106%,19281689,255%,9371703,,2636303
93239,170%,2020544,84%,749460,-65%,406608,221%,1165074,,362966
93245,-13%,9260220,273%,10597316,234%,2842455,216%,849801,,268788
93266,0%,8891750,0%,-,0%,-,0%,-,,-
95422,37%,405892072,104%,296546761,86%,145294396,54%,78134837,,50582830
95423,16%,221391030,66%,191394632,105%,115535105,77%,56330931,,31783239
95426,15%,357760292,40%,311510823,48%,222552024,131%,149948517,,64937351
95443,21%,36253095,23%,29851650,58%,24326790,401%,15403682,,3075863
95451,15%,1113008998,22%,965206975,43%,788272874,24%,550532332,,445001825
95453,44%,324108935,87%,225640080,80%,120980163,68%,67268707,,40022060
95457,9%,334093680,27%,306589450,64%,242356896,48%,148053498,,99984341
95458,28%,139997825,86%,109085340,77%,58549650,38%,32986727,,23971167
95461,18%,398149245,33%,337271069,57%,254058636,135%,161814883,,68774108
95464,31%,90273543,106%,69073992,45%,33541685,92%,23121473,,12072800
95467,39%,393323136,39%,282282866,53%,202894554,155%,132297919,,51936554
95485,21%,121017429,33%,100296521,67%,75316167,41%,44966888,,31862063
95493,2%,11824153,73%,11605674,52%,6693279,31%,4410144,,3363383
97635,-57%,838813,49%,1928543,0%,1294087,0%,1294087,,1294087
96009,82%,3999785,0%,2194259,0%,-,0%,-,,-
96056,7%,33943985,-10%,31675655,256%,35223861,23%,9891597,,8031332
96109,27%,14375418,21%,11359295,-2%,9356352,115%,9576250,,4456226
96113,79%,5996604,99%,3356387,0%,1685285,0%,-,,-
96114,27%,191616230,125%,150693207,83%,66920361,66%,36608492,,22102699
96117,148%,6376847,0%,2574405,0%,-,-100%,-,,37500
96119,7%,183655,-84%,171320,1%,1045857,10%,1036022,,943241
96121,56%,19963346,114%,12757556,21%,5975074,27%,4946974,,3904671
96123,0%,-,0%,-,0%,-,0%,-,,-
96128,91%,4402452,14%,2305190,72%,2017000,0%,1170480,,-
96130,40%,430727458,158%,308595111,116%,119479411,45%,55427940,,38309038
96132,-42%,257202,129%,440150,0%,192000,0%,-,,-
96136,94%,913116,0%,471200,-100%,-,0%,1167331,,-
90001,48%,1101101496,17%,744677082,12%,635048691,6%,565624601,,531334332
90002,49%,763215067,19%,511211425,7%,429482334,7%,401097849,,376062799
90003,43%,1139317379,28%,796037581,12%,619687790,7%,553509144,,518256363
90004,42%,520451451,34%,365649109,31%,271919705,1%,208090380,,205188959
90005,96%,217862481,50%,111251506,29%,74051546,-8%,57274330,,62559731
90006,48%,563001421,35%,379606721,11%,280636299,5%,253780878,,241557041
90007,42%,483719909,40%,339845908,2%,243304669,12%,237506732,,211637424
90008,69%,348000212,48%,205611641,5%,138763906,7%,131737574,,122689182
90011,38%,1626762016,21%,1174793282,10%,970094248,5%,880507496,,841376480
90012,49%,191578103,142%,128961867,48%,53235962,-2%,36062200,,36870279
90013,32%,152697846,186%,115975958,248%,40516300,-25%,11638013,,15588687
90014,45%,116493721,115%,80107446,83%,37223531,5%,20336621,,19430000
90015,49%,326455669,63%,219810465,47%,135048388,52%,92030311,,60562002
90016,55%,507178598,14%,327180910,13%,286588832,2%,252519060,,247862628
90017,25%,110447706,183%,88272592,20%,31230726,34%,26056232,,19443829
90018,51%,804408800,18%,533669779,7%,452230041,5%,422601797,,402750674
90019,62%,882920757,29%,544401825,14%,423401425,1%,371952813,,369494040
90020,113%,189235186,85%,88647958,28%,47840661,30%,37273273,,28688746
90021,61%,413144402,43%,256971878,151%,179558470,69%,71542276,,42305462
90022,52%,753025840,23%,495037076,7%,402530273,3%,376430586,,364680741
90023,41%,689773145,22%,487495383,13%,401020242,8%,353592329,,326904279
90024,88%,232506796,150%,123520479,54%,49381842,45%,31995407,,22102763
90025,115%,111742983,57%,51882215,25%,33074442,11%,26439032,,23892725
90026,62%,698727498,23%,430581455,10%,350767100,4%,319103070,,307690534
90027,78%,843314035,40%,474322665,35%,338563757,23%,250370822,,204328409
90028,39%,129269655,90%,93219450,105%,49055436,2%,23968269,,23414153
90029,49%,260199405,28%,174206543,24%,136165134,4%,109892368,,105857676
90031,56%,574721369,20%,368550793,21%,306027235,0%,251930641,,251253522
